Country,salary
Afghanistan,20992247
Albania,19122082
Algeria,16724038
American Samoa,27321588
Andorra,22984902
Angola,26697396
Anguilla,16258869
Antarctica (the territory South of 60 deg S),21300755
Antigua and Barbuda,23653671
Argentina,20799826
Armenia,24956969
Aruba,14272649
Australia,20713091
Austria,25625040
Azerbaijan,20858771
Bahamas,19592087
Bahrain,22837109
Bangladesh,20831265
Barbados,26861044
Belarus,19938503
Belgium,26075693
Belize,22898863
Benin,16721495
Bermuda,21225168
Bhutan,23659987
Bolivia,22332858
Bosnia and Herzegovina,19805298
Botswana,25094156
Bouvet Island (Bouvetoya),21796206
Brazil,19983935
British Indian Ocean Territory (Chagos Archipelago),20694073
British Virgin Islands,17591747
Brunei Darussalam,20382656
Bulgaria,19050946
Burkina Faso,16381184
Burundi,16794375
Cambodia,17767497
Cameroon,21189486
Canada,18147325
Cape Verde,21561227
Cayman Islands,12671763
Central African Republic,20309700
Chad,26234499
Chile,19449616
China,19561864
Christmas Island,19658389
Cocos (Keeling) Islands,21070081
Colombia,14166870
Comoros,20731274
Congo,39728067
Cook Islands,18563908
Costa Rica,17308418
Cote d'Ivoire,27142784
Croatia,28072163
Cuba,20949787
Cyprus,19822636
Czech Republic,24277897
Denmark,24390046
Djibouti,20999920
Dominica,17063535
Dominican Republic,18426781
Ecuador,24130176
Egypt,18701621
El Salvador,19648165
Equatorial Guinea,18700878
Eritrea,16413595
Estonia,18508222
Ethiopia,22156570
Falkland Islands (Malvinas),18272217
Faroe Islands,20146537
Fiji,25342295
Finland,21877226
France,21715867
French Guiana,17778063
French Polynesia,17565406
French Southern Territories,22165363
Gabon,25231116
Gambia,22050414
Georgia,15917333
Germany,26815131
Ghana,20528341
Gibraltar,22102244
Greece,17994561
Greenland,21859200
Grenada,27724704
Guadeloupe,15632052
Guam,20209429
Guatemala,30145648
Guernsey,18764746
Guinea,18426034
Guinea-Bissau,20147015
Guyana,18083228
Haiti,20885421
Heard Island and McDonald Islands,26385349
Holy See (Vatican City State),18885547
Honduras,17113276
Hong Kong,22663201
Hungary,23097759
Iceland,21618044
India,17370628
Indonesia,26179189
Iran,17170052
Iraq,20722365
Ireland,20767413
Isle of Man,16311113
Israel,18778862
Italy,19635410
Jamaica,26037731
Japan,22657898
Jersey,20084409
Jordan,22949095
Kazakhstan,19475124
Kenya,20311791
Kiribati,23023081
Korea,41875285
Kuwait,17081209
Kyrgyz Republic,19001695
Lao People's Democratic Republic,17406262
Latvia,18198669
Lebanon,27405093
Lesotho,18762518
Liberia,18336303
Libyan Arab Jamahiriya,16036808
Liechtenstein,22854734
Lithuania,12013746
Luxembourg,14494276
Macao,14370394
Madagascar,24910862
Malawi,19155133
Malaysia,18838804
Maldives,19617257
Mali,14258901
Malta,29209977
Marshall Islands,21617779
Martinique,23782843
Mauritania,21187236
Mauritius,19107074
Mayotte,18445149
Mexico,24636535
Micronesia,17833748
Moldova,16582309
Monaco,22559290
Mongolia,21420615
Montenegro,18729056
Montserrat,23176602
Morocco,15529405
Mozambique,25971155
Myanmar,20659361
Namibia,26333049
Nauru,16580756
Nepal,20164641
Netherlands,20871614
Netherlands Antilles,13548678
New Caledonia,20965988
New Zealand,16404482
Nicaragua,27858387
Niger,26702070
Nigeria,15673688
Niue,22874398
Norfolk Island,26151896
North Macedonia,23350882
Northern Mariana Islands,22129285
Norway,20460952
Oman,21920061
Pakistan,14388030
Palau,20900970
Palestinian Territory,21506183
Panama,19241064
Papua New Guinea,18446912
Paraguay,19861422
Peru,21037869
Philippines,21267424
Pitcairn Islands,21639252
Poland,20481439
Portugal,18107568
Puerto Rico,18782042
Qatar,20956029
Reunion,19686134
Romania,23207154
Russian Federation,21936194
Rwanda,12949358
Saint Barthelemy,15723751
Saint Helena,19640205
Saint Kitts and Nevis,21238573
Saint Lucia,20106847
Saint Martin,18872048
Saint Pierre and Miquelon,20737574
Saint Vincent and the Grenadines,24556129
Samoa,17480400
San Marino,35277896
Sao Tome and Principe,23042995
Saudi Arabia,18900400
Senegal,20903453
Serbia,18478036
Seychelles,23763156
Sierra Leone,20658273
Singapore,23950887
Slovakia (Slovak Republic),24695731
Slovenia,25258503
Solomon Islands,17437397
Somalia,17929190
South Africa,28634312
South Georgia and the South Sandwich Islands,20953766
Spain,15793592
Sri Lanka,18893383
Sudan,23229617
Suriname,19354406
Svalbard & Jan Mayen Islands,18462555
Swaziland,18282566
Sweden,19277369
Switzerland,17851614
Syrian Arab Republic,16957547
Taiwan,28462104
Tajikistan,20187396
Tanzania,22665074
Thailand,26507109
Timor-Leste,20334933
Togo,16526572
Tokelau,24153579
Tonga,20417413
Trinidad and Tobago,23221179
Tunisia,17852980
Turkey,17408026
Turkmenistan,15309890
Turks and Caicos Islands,24055275
Tuvalu,24252027
Uganda,26499060
Ukraine,19945908
United Arab Emirates,26251096
United Kingdom,20039221
United States Minor Outlying Islands,18254510
United States Virgin Islands,27487856
United States of America,15890304
Uruguay,18740161
Uzbekistan,15522305
Vanuatu,21100617
Venezuela,16818261
Vietnam,19148592
Wallis and Futuna,17009410
Western Sahara,20035298
Yemen,21585008
Zambia,21451242
Zimbabwe,11532901
